!23456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678912345678912345678912345612345612312123      w  j  i  t
C-          C                       C2          E-                                   5.00E-10     0.00      0.0    10 41000  5 C AD L
X-          C                       CX          E-                                   5.00E-10     0.00      0.0    10 41000  5 C AD L !  2  1  1  1
C-          X                       CX          E-                                   5.00E-10     0.00      0.0    10 41000  5 C AD L !  2  1  2  1
C-          CH2                     C2H2        E-                                   5.00E-10     0.00      0.0    10 41000  5 C AD L
X-          CH2                     CXH2        E-                                   5.00E-10     0.00      0.0    10 41000  5 C AD L !  2  1  1  1
C-          XH2                     CXH2        E-                                   5.00E-10     0.00      0.0    10 41000  5 C AD L !  2  1  2  1
C-          CH                      C2H         E-                                   5.00E-10     0.00      0.0    10 41000  5 C AD L
X-          CH                      CXH         E-                                   5.00E-10     0.00      0.0    10 41000  5 C AD L !  2  1  1  1
C-          XH                      CXH         E-                                   5.00E-10     0.00      0.0    10 41000  5 C AD L !  2  1  2  1
C-          CO2                     CO          CO          E-                       4.70E-11     0.00      0.0    10 41000  5 C AD L
X-          CO2                     XO          CO          E-                       4.70E-11     0.00      0.0    10 41000  5 C AD L !  2  1  1  1
C-          XO2                     XO          CO          E-                       4.70E-11     0.00      0.0    10 41000  5 C AD L !  2  1  2  1
C-          H2O                     H2CO        E-                                   5.00E-10     0.00      0.0    10 41000  5 C AD L
X-          H2O                     H2XO        E-                                   5.00E-10     0.00      0.0    10 41000  5 C AD L !  1  1  1  1
C-          N                       CN          E-                                   5.00E-10     0.00      0.0    10 41000  5 C AD L
X-          N                       XN          E-                                   5.00E-10     0.00      0.0    10 41000  5 C AD L !  1  1  1  1
C-          NH                      HCN         E-                                   5.00E-10     0.00      0.0    10 41000  5 C AD L
X-          NH                      HXN         E-                                   5.00E-10     0.00      0.0    10 41000  5 C AD L !  1  1  1  1
C-          O2                      CO2         E-                                   5.00E-11     0.00      0.0    10 41000  5 C AD L
X-          O2                      XO2         E-                                   5.00E-11     0.00      0.0    10 41000  5 C AD L !  1  1  1  1
C-          O                       CO          E-                                   5.00E-10     0.00      0.0    10 41000  5 C AD L
X-          O                       XO          E-                                   5.00E-10     0.00      0.0    10 41000  5 C AD L !  1  1  1  1
C-          OH                      HCO         E-                                   5.00E-10     0.00      0.0    10 41000  5 C AD L
X-          OH                      HXO         E-                                   5.00E-10     0.00      0.0    10 41000  5 C AD L !  1  1  1  1
C2-         C2                      C4          E-                                   1.00E-09     0.00      0.0    10   300  5 D AD E
CX-         C2                      C3X         E-                                   1.00E-09     0.00      0.0    10   300  5 D AD E !  4  1  1  1
C2-         CX                      C3X         E-                                   1.00E-09     0.00      0.0    10   300  5 D AD E !  4  1  2  1
C2-         C3                      C5          E-                                   1.00E-09     0.00      0.0    10   300  5 D AD E
CX-         C3                      C4X         E-                                   1.00E-09     0.00      0.0    10   300  5 D AD E !  5  1  1  1
C2-         C2X                     C4X         E-                                   1.00E-09     0.00      0.0    10   300  5 D AD E !  5  1  2  1
C2-         C4                      C6          E-                                   1.00E-09     0.00      0.0    10   300  5 D AD E
